"Notes"	"Census Region"	"Census Region Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2010"	"2010"			646074	11095745	58.23
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"15-19 years"	"15-19"	38092	1864970	20.42
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"20-24 years"	"20-24"	121864	1900042	64.14
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"25-29 years"	"25-29"	173690	1838305	94.48
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"30-34 years"	"30-34"	186854	1763516	105.96
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"35-39 years"	"35-39"	96725	1711224	56.52
	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"	"40-44 years"	"40-44"	23822	1964289	12.13
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2011"	"2011"			641047	11042346	58.05
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"15-19 years"	"15-19"	35070	1852426	18.93
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"20-24 years"	"20-24"	119474	1910860	62.52
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"25-29 years"	"25-29"	171278	1861286	92.02
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"30-34 years"	"30-34"	189177	1793699	105.47
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"35-39 years"	"35-39"	97534	1691243	57.67
	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"	"40-44 years"	"40-44"	23857	1931593	12.35
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2012"	"2012"			636390	11041107	57.64
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"15-19 years"	"15-19"	30546	1820315	16.78
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"20-24 years"	"20-24"	113846	1919372	59.31
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"25-29 years"	"25-29"	168924	1885953	89.57
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"30-34 years"	"30-34"	192143	1820985	105.52
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"35-39 years"	"35-39"	99116	1691579	58.59
	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"	"40-44 years"	"40-44"	23373	1879204	12.44
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2013"	"2013"			627948	11017408	57.00
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"15-19 years"	"15-19"	27384	1802513	15.19
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"20-24 years"	"20-24"	110062	1933249	56.93
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"25-29 years"	"25-29"	171739	1914560	89.70
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"30-34 years"	"30-34"	197515	1840114	107.34
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"35-39 years"	"35-39"	102334	1713348	59.73
	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"	"40-44 years"	"40-44"	23182	1829170	12.67
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2014"	"2014"			632216	11032954	57.30
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"15-19 years"	"15-19"	24780	1789532	13.85
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"20-24 years"	"20-24"	104920	1919952	54.65
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"25-29 years"	"25-29"	170575	1935890	88.11
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"30-34 years"	"30-34"	198754	1851636	107.34
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"35-39 years"	"35-39"	105899	1742579	60.77
	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"	"40-44 years"	"40-44"	23413	1770219	13.23
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2015"	"2015"			628341	11009808	57.07
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"15-19 years"	"15-19"	22169	1774406	12.49
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"20-24 years"	"20-24"	98700	1897337	52.02
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"25-29 years"	"25-29"	169434	1941684	87.26
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"30-34 years"	"30-34"	200532	1859062	107.87
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"35-39 years"	"35-39"	108600	1761258	61.66
	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"	"40-44 years"	"40-44"	23424	1700486	13.77
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2016"	"2016"			622859	10934233	56.96
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"15-19 years"	"15-19"	20573	1759395	11.69
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"20-24 years"	"20-24"	93805	1879570	49.91
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"25-29 years"	"25-29"	165089	1964819	84.02
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"30-34 years"	"30-34"	198907	1878456	105.89
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"35-39 years"	"35-39"	110620	1787369	61.89
	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"	"40-44 years"	"40-44"	24004	1680856	14.28
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2017"	"2017"			612998	10950465	55.98
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"15-19 years"	"15-19"	19232	1734508	11.09
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"20-24 years"	"20-24"	89017	1830480	48.63
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"25-29 years"	"25-29"	159400	1945762	81.92
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"30-34 years"	"30-34"	199375	1875504	106.30
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"35-39 years"	"35-39"	113029	1789974	63.15
	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"	"40-44 years"	"40-44"	24837	1663419	14.93
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2018"	"2018"			604890	10839647	55.80
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"15-19 years"	"15-19"	18132	1718143	10.55
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"20-24 years"	"20-24"	85436	1794831	47.60
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"25-29 years"	"25-29"	154755	1929884	80.19
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"30-34 years"	"30-34"	198916	1891074	105.19
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"35-39 years"	"35-39"	113119	1794110	63.05
	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"	"40-44 years"	"40-44"	25192	1669442	15.09
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2019"	"2019"			595550	10797484	55.16
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"15-19 years"	"15-19"	16397	1694434	9.68
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"20-24 years"	"20-24"	80350	1771741	45.35
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"25-29 years"	"25-29"	144617	1899604	76.13
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"30-34 years"	"30-34"	195190	1908200	102.29
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"35-39 years"	"35-39"	112367	1798114	62.49
	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"	"40-44 years"	"40-44"	25237	1685545	14.97
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2020"	"2020"			574158	10757638	53.37
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"15-19 years"	"15-19"	15365	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"20-24 years"	"20-24"	77306	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"25-29 years"	"25-29"	143721	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"30-34 years"	"30-34"	205177	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"35-39 years"	"35-39"	119879	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"	"40-44 years"	"40-44"	26380	Not Available	Not Available
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2021"	"2021"			587828	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"15-19 years"	"15-19"	14675	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"20-24 years"	"20-24"	75811	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"25-29 years"	"25-29"	140222	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"30-34 years"	"30-34"	201311	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"35-39 years"	"35-39"	122076	Not Available	Not Available
	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"	"40-44 years"	"40-44"	27931	Not Available	Not Available
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"2022"	"2022"			582026	Not Available	Not Available
"Total"	"Census Region 1: Northeast"	"CENS-R1"					10010773	154046106	64.99
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"15-19 years"	"15-19"	89543	2386817	37.52
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"20-24 years"	"20-24"	226687	2256818	100.45
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"25-29 years"	"25-29"	271558	2160008	125.72
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"30-34 years"	"30-34"	202197	2015028	100.34
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"35-39 years"	"35-39"	95422	2213670	43.11
	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"	"40-44 years"	"40-44"	18453	2367087	7.80
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2007"	"2007"			903860	13399428	67.46
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"15-19 years"	"15-19"	87355	2384252	36.64
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"20-24 years"	"20-24"	220653	2246482	98.22
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"25-29 years"	"25-29"	268333	2189268	122.57
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"30-34 years"	"30-34"	202019	2018043	100.11
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"35-39 years"	"35-39"	91997	2182658	42.15
	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"	"40-44 years"	"40-44"	18485	2288418	8.08
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2008"	"2008"			888842	13309121	66.78
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"15-19 years"	"15-19"	83176	2367965	35.13
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"20-24 years"	"20-24"	211624	2248494	94.12
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"25-29 years"	"25-29"	262117	2198322	119.24
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"30-34 years"	"30-34"	203223	2047045	99.28
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"35-39 years"	"35-39"	88579	2135202	41.49
	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"	"40-44 years"	"40-44"	18492	2225102	8.31
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2009"	"2009"			867211	13222130	65.59
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"15-19 years"	"15-19"	75328	2341446	32.17
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"20-24 years"	"20-24"	200044	2255993	88.67
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"25-29 years"	"25-29"	254818	2193063	116.19
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"30-34 years"	"30-34"	205597	2076654	99.00
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"35-39 years"	"35-39"	86443	2094587	41.27
	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"	"40-44 years"	"40-44"	18538	2198931	8.43
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2010"	"2010"			840768	13160674	63.88
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"15-19 years"	"15-19"	67351	2302418	29.25
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"20-24 years"	"20-24"	194746	2291829	84.97
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"25-29 years"	"25-29"	253651	2184827	116.10
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"30-34 years"	"30-34"	211395	2130963	99.20
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"35-39 years"	"35-39"	86477	2016264	42.89
	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"	"40-44 years"	"40-44"	18700	2199408	8.50
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2011"	"2011"			832320	13125709	63.41
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"15-19 years"	"15-19"	62596	2257966	27.72
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"20-24 years"	"20-24"	194393	2329923	83.43
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"25-29 years"	"25-29"	251903	2172746	115.94
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"30-34 years"	"30-34"	216187	2164328	99.89
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"35-39 years"	"35-39"	87104	1994979	43.66
	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"	"40-44 years"	"40-44"	18597	2182764	8.52
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2012"	"2012"			830780	13102706	63.41
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"15-19 years"	"15-19"	56032	2236817	25.05
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"20-24 years"	"20-24"	190804	2360063	80.85
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"25-29 years"	"25-29"	251020	2162242	116.09
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"30-34 years"	"30-34"	221702	2192396	101.12
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"35-39 years"	"35-39"	90609	2005410	45.18
	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"	"40-44 years"	"40-44"	18451	2154621	8.56
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2013"	"2013"			828618	13111549	63.20
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"15-19 years"	"15-19"	50984	2219167	22.97
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"20-24 years"	"20-24"	187300	2376276	78.82
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"25-29 years"	"25-29"	254734	2174650	117.14
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"30-34 years"	"30-34"	230805	2202887	104.77
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"35-39 years"	"35-39"	94448	2034718	46.42
	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"	"40-44 years"	"40-44"	18177	2112415	8.60
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2014"	"2014"			836448	13120113	63.75
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"15-19 years"	"15-19"	47009	2214606	21.23
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"20-24 years"	"20-24"	180837	2358328	76.68
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"25-29 years"	"25-29"	256270	2194662	116.77
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"30-34 years"	"30-34"	233104	2197274	106.09
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"35-39 years"	"35-39"	98401	2076807	47.38
	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"	"40-44 years"	"40-44"	18176	2057775	8.83
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2015"	"2015"			833797	13099452	63.65
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"15-19 years"	"15-19"	42732	2206788	19.36
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"20-24 years"	"20-24"	170453	2320191	73.47
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"25-29 years"	"25-29"	255335	2226917	114.66
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"30-34 years"	"30-34"	236462	2185559	108.19
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"35-39 years"	"35-39"	102421	2115319	48.42
	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"	"40-44 years"	"40-44"	18646	1988502	9.38
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2016"	"2016"			826049	13043276	63.33
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"15-19 years"	"15-19"	40142	2197743	18.27
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"20-24 years"	"20-24"	162459	2294275	70.81
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"25-29 years"	"25-29"	250198	2266539	110.39
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"30-34 years"	"30-34"	233001	2171323	107.31
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"35-39 years"	"35-39"	103779	2152766	48.21
	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"	"40-44 years"	"40-44"	18786	1971198	9.53
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2017"	"2017"			808365	13053844	61.93
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"15-19 years"	"15-19"	37180	2186275	17.01
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"20-24 years"	"20-24"	154895	2270011	68.24
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"25-29 years"	"25-29"	247201	2294050	107.76
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"30-34 years"	"30-34"	232369	2168841	107.14
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"35-39 years"	"35-39"	105795	2181190	48.50
	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"	"40-44 years"	"40-44"	19275	1980381	9.73
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2018"	"2018"			796715	13080748	60.91
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"15-19 years"	"15-19"	35369	2177369	16.24
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"20-24 years"	"20-24"	149302	2243813	66.54
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"25-29 years"	"25-29"	240148	2294871	104.65
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"30-34 years"	"30-34"	231539	2177862	106.31
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"35-39 years"	"35-39"	106600	2187601	48.73
	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"	"40-44 years"	"40-44"	19800	2005409	9.87
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2019"	"2019"			782758	13086925	59.81
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"15-19 years"	"15-19"	32346	2160052	14.97
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"20-24 years"	"20-24"	140151	2233528	62.75
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"25-29 years"	"25-29"	228856	2271103	100.77
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"30-34 years"	"30-34"	226770	2196716	103.23
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"35-39 years"	"35-39"	104594	2183534	47.90
	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"	"40-44 years"	"40-44"	19925	2044790	9.74
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2020"	"2020"			752642	13089723	57.50
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"15-19 years"	"15-19"	29529	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"20-24 years"	"20-24"	135546	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"25-29 years"	"25-29"	227568	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"30-34 years"	"30-34"	235045	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"35-39 years"	"35-39"	110033	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"	"40-44 years"	"40-44"	20733	Not Available	Not Available
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2021"	"2021"			758454	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"15-19 years"	"15-19"	28770	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"20-24 years"	"20-24"	131565	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"25-29 years"	"25-29"	220957	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"30-34 years"	"30-34"	232239	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"35-39 years"	"35-39"	110441	Not Available	Not Available
	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"	"40-44 years"	"40-44"	21804	Not Available	Not Available
"Total"	"Census Region 2: Midwest"	"CENS-R2"	"2022"	"2022"			745776	Not Available	Not Available
"Total"	"Census Region 2: Midwest"	"CENS-R2"					13133403	184005398	71.38
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"15-19 years"	"15-19"	200327	3895881	51.42
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"20-24 years"	"20-24"	457534	3800421	120.39
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"25-29 years"	"25-29"	452575	3809173	118.81
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"30-34 years"	"30-34"	329668	3574090	92.24
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"35-39 years"	"35-39"	163684	3904765	41.92
	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"	"40-44 years"	"40-44"	33047	4057632	8.14
"Total"	"Census Region 3: South"	"CENS-R3"	"2007"	"2007"			1636835	23041962	71.04
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"15-19 years"	"15-19"	196348	3943000	49.80
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"20-24 years"	"20-24"	444591	3834281	115.95
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"25-29 years"	"25-29"	449193	3874861	115.92
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"30-34 years"	"30-34"	328456	3601694	91.19
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"35-39 years"	"35-39"	161292	3919659	41.15
	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"	"40-44 years"	"40-44"	33375	3985002	8.38
"Total"	"Census Region 3: South"	"CENS-R3"	"2008"	"2008"			1613255	23158497	69.66
