"Notes"	"Standard Residence Census Region"	"Standard Residence Census Region Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	"Month"	"Month Code"	Fetal Deaths
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"September"	"9"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"October"	"10"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"November"	"11"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2018"	"2018"	"December"	"12"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"January"	"1"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"February"	"2"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"March"	"3"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"April"	"4"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"June"	"6"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"July"	"7"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"August"	"8"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"September"	"9"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"October"	"10"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"November"	"11"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2019"	"2019"	"December"	"12"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"January"	"1"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"February"	"2"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"March"	"3"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"April"	"4"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"May"	"5"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"June"	"6"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"July"	"7"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"August"	"8"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"September"	"9"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"October"	"10"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2020"	"2020"	"December"	"12"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"January"	"1"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"April"	"4"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"May"	"5"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"June"	"6"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"August"	"8"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"September"	"9"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"2021"	"2021"	"October"	"10"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"January"	"1"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"February"	"2"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"March"	"3"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"April"	"4"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"May"	"5"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"June"	"6"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"July"	"7"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"August"	"8"	37
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"September"	"9"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"October"	"10"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"November"	"11"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2018"	"2018"	"December"	"12"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"January"	"1"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"February"	"2"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"March"	"3"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"April"	"4"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"May"	"5"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"June"	"6"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"July"	"7"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"August"	"8"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"September"	"9"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"October"	"10"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"November"	"11"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2019"	"2019"	"December"	"12"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"January"	"1"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"February"	"2"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"March"	"3"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"April"	"4"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"May"	"5"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"June"	"6"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"July"	"7"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"August"	"8"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"September"	"9"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"October"	"10"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"November"	"11"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2020"	"2020"	"December"	"12"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"January"	"1"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"February"	"2"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"March"	"3"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"April"	"4"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"May"	"5"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"June"	"6"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"July"	"7"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"August"	"8"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"September"	"9"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"October"	"10"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"November"	"11"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"2021"	"2021"	"December"	"12"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"January"	"1"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"February"	"2"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"March"	"3"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"April"	"4"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"May"	"5"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"June"	"6"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"July"	"7"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"August"	"8"	32
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"September"	"9"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"October"	"10"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"November"	"11"	27
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2018"	"2018"	"December"	"12"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"January"	"1"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"February"	"2"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"March"	"3"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"April"	"4"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"May"	"5"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"June"	"6"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"July"	"7"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"August"	"8"	29
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"September"	"9"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"October"	"10"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"November"	"11"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2019"	"2019"	"December"	"12"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"January"	"1"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"February"	"2"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"March"	"3"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"April"	"4"	24
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"May"	"5"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"June"	"6"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"July"	"7"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"August"	"8"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"September"	"9"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"October"	"10"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2020"	"2020"	"December"	"12"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"January"	"1"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"February"	"2"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"March"	"3"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"April"	"4"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"May"	"5"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"June"	"6"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"July"	"7"	25
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"August"	"8"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"September"	"9"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"October"	"10"	30
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"November"	"11"	28
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"2021"	"2021"	"December"	"12"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"January"	"1"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"February"	"2"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"March"	"3"	26
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"April"	"4"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"May"	"5"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"June"	"6"	22
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"July"	"7"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"August"	"8"	18
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"September"	"9"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"October"	"10"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"November"	"11"	23
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2018"	"2018"	"December"	"12"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"January"	"1"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"February"	"2"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"March"	"3"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"April"	"4"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"May"	"5"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"June"	"6"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"July"	"7"	20
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"August"	"8"	17
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"September"	"9"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"October"	"10"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2019"	"2019"	"December"	"12"	10
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"January"	"1"	21
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"February"	"2"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"March"	"3"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"April"	"4"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"May"	"5"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"June"	"6"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"July"	"7"	15
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"September"	"9"	11
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"October"	"10"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"November"	"11"	12
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2020"	"2020"	"December"	"12"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"February"	"2"	13
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"April"	"4"	19
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"May"	"5"	14
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"June"	"6"	16
	"Census Region 1: Northeast"	"CENS-R1"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"2021"	"2021"	"July"	"7"	22
